counterfactual_group,target_object,sample_ids,states,gold_actions,训练前_actions,训练前_member_exact,训练前_pair_exact,训练前_same_actions,训练后_actions,训练后_member_exact,训练后_pair_exact,训练后_same_actions,comparison
shard_0_cf_0044,Drawer,shard_0_exp0_0406 | shard_0_exp0_0405,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0047,Fridge,shard_0_exp0_0462 | shard_0_exp0_0461,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0048,Fridge,shard_0_exp0_0469 | shard_0_exp0_0468,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_0065,Drawer,shard_0_exp0_0680 | shard_0_exp0_0679,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer); OpenObject(Drawer),1 | 0,0,1,both_not_exact
shard_0_cf_0066,Drawer,shard_0_exp0_0688 | shard_0_exp0_0687,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0067,Drawer,shard_0_exp0_0690 | shard_0_exp0_0689,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0068,Drawer,shard_0_exp0_0695 | shard_0_exp0_0694,closed | open,"GotoLocation(SideTable); PickupObject(Newspaper); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Newspaper,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(Newspaper); GotoLocation(Drawer); PutObject(Newspaper,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(SideTable); PickupObject(Newspaper); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Newspaper,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(Newspaper); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Newspaper,Drawer); CloseObject(Drawer)",1 | 0,0,1,both_not_exact
shard_0_cf_0100,Drawer,shard_0_exp0_1075 | shard_0_exp0_1074,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0103,Fridge,shard_0_exp0_1103 | shard_0_exp0_1102,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge) | GotoLocation(Fridge),0 | 1,0,1,both_not_exact
shard_0_cf_0104,Drawer,shard_0_exp0_1106 | shard_0_exp0_1105,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_0105,Drawer,shard_0_exp0_1109 | shard_0_exp0_1108,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
