timestamp_ns,cpu_usage_usec,memory_current_bytes,memory_peak_bytes,pids_current,load1,load5,load15
1786789971195319625,13162009819,15969882112,17764347904,470,0.00,0.00,0.00
1786789972235535632,13172960183,15914672128,17764347904,471,0.88,0.18,0.06
1786789973271157160,13183689637,15934894080,17764347904,471,0.88,0.18,0.06
1786789974321832127,13196161931,15965671424,17764347904,471,0.88,0.18,0.06
1786789975363754081,13207308239,15976091648,17764347904,471,0.88,0.18,0.06
1786789976394864438,13217066599,15943528448,17764347904,470,1.93,0.41,0.13
1786789977446569918,13229927328,15959572480,17764347904,470,1.93,0.41,0.13
1786789978503539238,13241440466,16005525504,17764347904,470,1.93,0.41,0.13
1786789979539086864,13252491984,15989538816,17764347904,470,1.93,0.41,0.13
1786789980586953030,13263950497,15968251904,17764347904,470,1.93,0.41,0.13
1786789981633763053,13275109642,15993016320,17764347904,470,3.46,0.75,0.25
1786789982675790553,13285877446,15993192448,17764347904,470,3.46,0.75,0.25
1786789983720729884,13297467224,15965118464,17764347904,470,3.46,0.75,0.25
1786789984760154446,13308078130,16051679232,17764347904,470,3.46,0.75,0.25
1786789985796908669,13320147303,16012492800,17764347904,470,3.46,0.75,0.25
1786789986838879264,13331070316,16040660992,17764347904,470,3.98,0.91,0.30
1786789987887356660,13342638671,16084881408,17764347904,470,3.98,0.91,0.30
1786789988929352453,13353157645,16089387008,17764347904,470,3.98,0.91,0.30
1786789989973260531,13365241088,16063848448,17764347904,470,3.98,0.91,0.30
1786789991005842352,13375946608,16051048448,17764347904,470,3.98,0.91,0.30
1786789992044457360,13387097901,16138321920,17764347904,470,6.47,1.47,0.49
1786789993094434314,13398771820,16042438656,17764347904,470,6.47,1.47,0.49
1786789994137997780,13409894536,16067510272,17764347904,470,6.47,1.47,0.49
1786789995177409059,13420548210,16136626176,17764347904,470,6.47,1.47,0.49
1786789996218888314,13431448594,16046415872,17764347904,470,6.47,1.47,0.49
1786789997255202531,13443594968,16050360320,17764347904,470,7.63,1.80,0.60
1786789998306523899,13453235465,16109023232,17764347904,470,7.63,1.80,0.60
1786789999376840385,13465436732,16056180736,17764347904,470,7.63,1.80,0.60
1786790000415812218,13477321384,16072167424,17764347904,470,7.63,1.80,0.60
1786790001474861119,13488243014,16078319616,17764347904,470,7.90,1.95,0.65
1786790002548120988,13499990886,16044208128,17764347904,470,7.90,1.95,0.65
1786790003593683500,13510525908,16079450112,17764347904,470,7.90,1.95,0.65
1786790004629318591,13521794745,16058781696,17764347904,471,7.90,1.95,0.65
1786790005679682206,13532955641,16092286976,17764347904,470,7.90,1.95,0.65
1786790006716553263,13543371325,16041091072,17764347904,470,9.19,2.32,0.78
1786790007757530170,13554739199,16069652480,17764347904,470,9.19,2.32,0.78
1786790008825725063,13565981151,16046370816,17764347904,470,9.19,2.32,0.78
1786790009859410092,13576679840,16045953024,17764347904,470,9.19,2.32,0.78
1786790010929837854,13587815691,16073297920,17764347904,470,9.19,2.32,0.78
